Device ID,Age,Gender
3213411000000ed2,1,female
32134110000018ad,1,female
3213411000000c20,1,female
3213411000000db0,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+75,1,female
321341100000005f,1,female
32134110000019b4,1,female
321341100000029f,1,female
321341100000040e,1,female
3.21E+63,1,female
3.21E+15,1,female
321341100000061e,1,female
32134110000002a6,1,female
3.21E+15,1,female
3.21E+14,1,female
3.21E+15,1,female
321341100000018f,1,female
32134110000016c4,1,female
3.21E+15,1,female
32134110000005ca,1,female
3213411000000d3f,1,female
321341100000175c,1,female
3.21E+15,1,female
32134110000014f4,1,female
3.21E+15,1,female
32134110000015ed,1,female
32134110000000ff,1,female
32134110000008b2,1,female
3213411000000bca,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000001a18,1,female
3213411000000d29,1,female
321341100000051d,1,female
3213411000001aae,1,female
321341100000087f,1,female
3.21E+15,1,female
3.21E+15,1,female
32134110000002fa,1,female
3.21E+71,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000ea1,1,female
3213411000001b29,1,female
3.21E+15,1,female
321341100000226a,1,female
3213411000001b2f,1,female
321341100000201a,1,female
3213411000001db2,1,female
3.21E+15,1,female
3213411000001d99,1,female
3.21E+15,1,female
3213411000000cab,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000c97,1,female
3.21E+15,1,female
32134110000002f8,1,female
3213411000000b9b,1,female
3.21E+15,1,female
3213411000000dcc,1,female
321341100000213c,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000ac7,1,female
3213411000001a78,1,female
3213411000000ef0,1,female
32134110000027d1,1,female
321341100000022a,1,female
32134110000018ae,1,female
3.21E+15,1,female
32134110000012d9,1,female
321341100000294e,1,female
32134110000027eb,1,female
3213411000000a7a,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000c15,1,female
3.21E+15,1,female
3213411000001b3e,1,female
3.21E+17,1,female
3.21E+15,1,female
3213411000000c53,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000c68,1,female
321341100000220b,1,female
3.21E+15,1,female
3.21E+15,1,female
32134110000015cb,1,female
321341100000257e,1,female
3213411000001a7a,1,female
3213411000000f8d,1,female
3.21E+15,1,female
3.21E+14,1,female
3.21E+15,1,female
3213411000001b23,1,female
3.21E+15,1,female
32134110000018db,1,female
3213411000000ccf,1,female
3.21E+15,1,female
3213411000001eb0,1,female
32134110000018d0,1,female
321341100000087d,1,female
32134110000003f4,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000d12,1,female
3.21E+15,1,female
3213411000000dca,1,female
32134110000025a8,1,female
32134110000021dd,1,female
3.21E+15,1,female
3213411000000b48,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000001cda,1,female
3213411000000c4c,1,female
32134110000027d7,1,female
3.21E+15,1,female
3213411000001c42,1,female
3.21E+22,1,female
3213411000000c34,1,female
3.21E+15,1,female
32134110000017ad,1,female
32134110000007aa,1,female
3213411000000cd1,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000ca9,1,female
3213411000000f2f,1,female
3.21E+14,1,female
32134110000007dd,1,female
321341100000130f,1,female
3213411000001a45,1,female
3213411000000da4,1,female
3213411000000d35,1,female
32134110000012d3,1,female
32134110000022d7,1,female
3.21E+13,1,female
32134110000004af,1,female
3213411000001a91,1,female
321341100000067e,1,female
321341100000201f,1,female
3.21E+15,1,female
3213411000001b5d,1,female
3.21E+15,1,female
3213411000000b1c,1,female
3.21E+15,1,female
32134110000002fe,1,female
321341100000068d,1,female
32134110000000f3,1,female
3213411000000cf6,1,female
32134110000010ee,1,female
321341100000058c,1,female
3.21E+17,1,female
3.21E+15,1,female
321341100000084c,1,female
3213411000000d40,1,female
32134110000026a6,1,female
3.21E+15,1,female
32134110000009c5,1,female
32134110000020b5,1,female
3213411000001e2d,1,female
32134110000015b4,1,female
3.21E+15,1,female
3.21E+15,1,female
32134110000020d9,1,female
3.21E+15,1,female
3213411000000a86,1,female
3.21E+15,1,female
3213411000000d96,1,female
3.21E+15,1,female
3213411000000d58,1,female
3213411000000bdd,1,female
3213411000000dcf,1,female
3.21E+41,1,female
3213411000000c6b,1,female
32134110000013c3,1,female
3213411000001a68,1,female
3213411000000eaa,1,female
32134110000006a2,1,female
3213411000001cd5,1,female
3213411000001cca,1,female
32134110000019d6,1,female
3213411000001f41,1,female
3213411000000c10,1,female
3213411000000ba9,1,female
321341100000231f,1,female
3.21E+15,1,female
3213411000000f9c,1,female
3.21E+15,1,female
3213411000001fc1,1,female
321341100000243f,1,female
3.21E+15,1,female
3213411000000ad8,1,female
32134110000013af,1,female
32134110000008d6,1,female
32134110000003a1,1,female
3213411000000de4,1,female
32134110000027f5,1,female
3213411000001a66,1,female
32134110000006cf,1,female
3.21E+44,1,female
3.21E+15,1,female
32134110000013cb,1,female
32134110000015dc,1,female
3.21E+15,1,female
32134110000007a4,1,female
321341100000072e,1,female
3.21E+17,1,female
321341100000021f,1,female
32134110000025dc,1,female
32134110000027d2,1,female
32134110000020b8,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000000aca,1,female
321341100000180e,1,female
3.21E+15,1,female
321341100000115a,1,female
3.21E+15,1,female
32134110000002f4,1,female
3.21E+15,1,female
32134110000012cf,1,female
32134110000001a4,1,female
321341100000034b,1,female
3213411000000bc0,1,female
32134110000014c9,1,female
3213411000000b09,1,female
3.21E+15,1,female
32134110000016be,1,female
32134110000009ec,1,female
32134110000022bf,1,female
3213411000000dba,1,female
3213411000000b4a,1,female
3.21E+15,1,female
32134110000005d4,1,female
3.21E+15,1,female
3213411000000bd6,1,female
321341100000017a,1,female
3.21E+15,1,female
3213411000001cb2,1,female
321341100000279d,1,female
3213411000000f6c,1,female
3213411000000b9c,1,female
321341100000031d,1,female
321341100000251e,1,female
3213411000000dbb,1,female
32134110000014b4,1,female
3213411000000a0b,1,female
3213411000000f2d,1,female
32134110000010ef,1,female
3213411000000dbc,1,female
3.21E+15,1,female
32134110000002f2,1,female
3213411000001cd8,1,female
3213411000000bf9,1,female
32134110000016c5,1,female
3213411000001a7d,1,female
32134110000005b2,1,female
32134110000025c8,1,female
3.21E+15,1,female
3213411000000dda,1,female
32134110000000d7,1,female
321341100000134c,1,female
321341100000253d,1,female
3213411000001a16,1,female
321341100000210d,1,female
321341100000195b,1,female
3.21E+15,1,female
3.21E+15,1,female
321341100000065f,1,female
3.21E+15,1,female
3.21E+79,1,female
321341100000286e,1,female
3.21E+15,1,female
321341100000127e,1,female
321341100000146c,1,female
3213411000000c7a,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+15,1,female
32134110000016bf,1,female
3.21E+15,1,female
3213411000001d70,1,female
3.21E+15,1,female
3213411000000beb,1,female
32134110000011ce,1,female
3.21E+107,1,female
3.21E+15,1,female
321341100000149a,1,female
3.21E+15,1,female
3213411000000ecb,1,female
3.21E+70,1,female
3213411000000dc7,1,female
32134110000011ff,1,female
3213411000000f3b,1,female
32134110000012a5,1,female
32134110000007c5,1,female
3213411000000cae,1,female
32134110000006cd,1,female
32134110000007b9,1,female
3213411000001cc5,1,female
3.21E+77,1,female
32134110000019be,1,female
3213411000001c15,1,female
32134110000027dc,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+15,1,female
3.21E+15,1,female
32134110000019d5,1,female
32134110000013d9,1,female
3213411000000b77,1,female
3.21E+15,1,female
3.21E+15,1,female
3213411000001cfe,1,female
32134110000027cd,1,female
3.21E+17,1,female
32134110000021ad,1,female
3213411000001b56,1,female
3213411000001eb5,1,female
32134110000006ac,1,female
3.21E+22,1,female
3213411000000d02,1,female
3.21E+15,1,female
32134110000006f5,1,female
3.21E+13,1,female
3213411000000c77,1,female
32134110000011b2,1,female
3213411000000e8a,1,female
3.21E+15,1,female
3213411000000dc1,1,female
3213411000001b43,1,female
321341100000078f,1,female
321341100000293e,1,female
3213411000000ead,1,male
